close,low,volume,high,open,adjclose
82.13999938964844,81.51000213623047,737756,82.375,81.70999908447266,82.13999938964844
68.56999969482422,66.94999694824219,1623574,68.66500091552734,66.94999694824219,68.56999969482422
24.30500030517578,23.690000534057617,862196,24.31999969482422,23.790000915527344,24.30500030517578
356.0199890136719,354.3900146484375,466899,362.80999755859375,360.94000244140625,356.0199890136719
55.209999084472656,53.9900016784668,286846,55.47710037231445,54.15999984741211,55.209999084472656
258.3999938964844,256.7200012207031,539359,259.5625915527344,258.70001220703125,258.3999938964844
76.32499694824219,75.95999908447266,535662,76.61000061035156,76.31999969482422,76.32499694824219
417.55999755859375,417.55999755859375,11782,423.5899963378906,420.7900085449219,417.55999755859375
113.0199966430664,111.97000122070312,2091565,113.10759735107422,112.2699966430664,113.0199966430664
69.55000305175781,68.45999908447266,602519,69.8499984741211,68.81999969482422,69.55000305175781
44.13999938964844,43.02000045776367,242248,44.13999938964844,42.790000915527344,44.13999938964844
48.25,47.18880081176758,3258998,48.619998931884766,47.779998779296875,48.25
64.88500213623047,63.83000183105469,616302,64.93000030517578,64.11000061035156,64.88500213623047
146.01499938964844,142.1510009765625,171865,146.17999267578125,143.2899932861328,146.01499938964844
1778.7099609375,1765.030029296875,39937,1796.7099609375,1791.4000244140625,1778.7099609375
94.72000122070312,94.43000030517578,244097,95.5,94.4800033569336,94.72000122070312
146.64999389648438,145.9199981689453,215757,147.6199951171875,147.4199981689453,146.64999389648438
184.25,183.05499267578125,163323,189.3800048828125,189.3800048828125,184.25
55.08000183105469,54.869998931884766,189745,55.55500030517578,55.220001220703125,55.08000183105469
55.90010070800781,55.775001525878906,1834816,56.04999923706055,56.0,55.90010070800781
62.31999969482422,62.279998779296875,1915097,63.40999984741211,63.04499816894531,62.31999969482422
113.72000122070312,108.5,581835,114.2300033569336,109.0,113.72000122070312
23.329999923706055,23.09000015258789,334650,23.489999771118164,23.420000076293945,23.329999923706055
27.204999923706055,26.020000457763672,5419840,27.264999389648438,26.139999389648438,27.204999923706055
77.94000244140625,77.33000183105469,130345,78.16000366210938,77.38999938964844,77.94000244140625
249.0800018310547,248.16000366210938,108296,256.7900085449219,257.4700012207031,249.0800018310547
534.1500244140625,534.1500244140625,119569,539.0526733398438,539.052978515625,534.1500244140625
57.54249954223633,56.77000045776367,196883,57.619998931884766,56.959999084472656,57.54249954223633
23.81999969482422,23.31999969482422,1009178,23.84000015258789,23.389999389648438,23.81999969482422
25.405000686645508,25.209999084472656,356466,25.459999084472656,25.360000610351562,25.405000686645508
168.1199951171875,167.66000366210938,291167,174.0,171.9949951171875,168.1199951171875
299.80999755859375,298.80999755859375,602724,304.0899963378906,303.95001220703125,299.80999755859375
202.86500549316406,202.22000122070312,44725,204.55999755859375,203.6699981689453,202.86500549316406
133.9499969482422,133.125,54854,134.78500366210938,134.07000732421875,133.9499969482422
77.43000030517578,76.51000213623047,381491,77.65499877929688,76.66999816894531,77.43000030517578
57.04499816894531,56.8849983215332,188611,57.599998474121094,57.504600524902344,57.04499816894531
18.524999618530273,17.520000457763672,1431514,18.53499984741211,17.520000457763672,18.524999618530273
130.60000610351562,130.47000122070312,73386,132.3350067138672,130.50999450683594,130.60000610351562
220.85000610351562,219.5500030517578,73769,221.10000610351562,219.63999938964844,220.85000610351562
180.57000732421875,179.99000549316406,365777,182.0,181.7899932861328,180.57000732421875
405.3349914550781,404.1499938964844,13063,409.42999267578125,409.42999267578125,405.3349914550781
73.55999755859375,72.25,1763024,73.69000244140625,72.6500015258789,73.55999755859375
93.01499938964844,90.1500015258789,686824,93.0999984741211,91.56999969482422,93.01499938964844
126.5999984741211,124.58000183105469,130078,127.19999694824219,124.81999969482422,126.5999984741211
77.37000274658203,76.97000122070312,196712,77.80000305175781,77.58000183105469,77.37000274658203
17.774999618530273,17.260000228881836,985901,17.81999969482422,17.34000015258789,17.774999618530273
25.2450008392334,24.489999771118164,3051842,25.295000076293945,24.829999923706055,25.2450008392334
233.218994140625,232.89500427246094,408134,234.67999267578125,232.88999938964844,233.218994140625
85.33899688720703,85.16000366210938,217463,85.87000274658203,85.30000305175781,85.33899688720703
516.5599975585938,501.2464904785156,224262,531.5399780273438,537.0,516.5599975585938
40.72999954223633,40.369998931884766,236455,40.81999969482422,40.380001068115234,40.72999954223633
209.71499633789062,207.5,223853,216.49000549316406,206.5399932861328,209.71499633789062
199.2100067138672,197.2552947998047,39157,199.4600067138672,198.4199981689453,199.2100067138672
175.3000030517578,175.22000122070312,72788,177.0,175.50999450683594,175.3000030517578
92.66000366210938,91.36000061035156,407605,94.37999725341797,94.37999725341797,92.66000366210938
62.70000076293945,62.36000061035156,289762,62.86000061035156,62.599998474121094,62.70000076293945
133.77980041503906,133.27000427246094,433162,135.0800018310547,133.9499969482422,133.77980041503906
