symbol,today_date,today_price
TER,2021-11-03,140.38499450683594
AOS,2021-11-03,77.73999786376953
F,2021-11-03,18.204999923706055
NLSN,2021-11-03,21.145000457763672
URI,2021-11-03,384.8699951171875
MRK,2021-11-03,88.37000274658203
ALB,2021-11-03,259.42999267578125
TROW,2021-11-03,215.91000366210938
PCAR,2021-11-03,91.19999694824219
REGN,2021-11-03,644.010009765625
ALGN,2021-11-03,659.8900146484375
PWR,2021-11-03,116.9000015258789
NOW,2021-11-03,676.0914916992188
EXR,2021-11-03,198.19000244140625
MPWR,2021-11-03,531.8499755859375
CAT,2021-11-03,203.47999572753906
KLAC,2021-11-03,386.69000244140625
CINF,2021-11-03,125.0199966430664
GPS,2021-11-03,24.670000076293945
EMN,2021-11-03,109.98999786376953
VIAC,2021-11-03,37.56999969482422
TPR,2021-11-03,42.060001373291016
WHR,2021-11-03,221.0399932861328
WLTW,2021-11-03,234.9499969482422
NXPI,2021-11-03,214.9499969482422
LKQ,2021-11-03,56.882198333740234
MCO,2021-11-03,385.79998779296875
ENPH,2021-11-03,233.77999877929688
VFC,2021-11-03,73.41000366210938
TSLA,2021-11-03,1182.368408203125
DE,2021-11-03,338.8999938964844
FBHS,2021-11-03,101.88999938964844
FCX,2021-11-03,38.11000061035156
WDC,2021-11-03,55.20000076293945
CMI,2021-11-03,236.5
ODFL,2021-11-03,344.5199890136719
LEG,2021-11-03,44.290000915527344
DVA,2021-11-03,103.55000305175781
GNRC,2021-11-03,459.55499267578125
TXT,2021-11-03,76.16999816894531
CB,2021-11-03,192.5800018310547
AVY,2021-11-03,220.0399932861328
ETN,2021-11-03,168.42999267578125
ICE,2021-11-03,136.94650268554688
DISCA,2021-11-03,24.780000686645508
MSCI,2021-11-03,640.2750244140625
AAPL,2021-11-03,150.5850067138672
MCHP,2021-11-03,79.06999969482422
VMC,2021-11-03,195.3699951171875
WRK,2021-11-03,48.540000915527344
DISCK,2021-11-03,23.940000534057617
MHK,2021-11-03,176.68499755859375
J,2021-11-03,139.47999572753906
MLM,2021-11-03,409.3399963378906
ROST,2021-11-03,117.41000366210938
EQIX,2021-11-03,829.6300048828125
BEN,2021-11-03,37.119998931884766
AMZN,2021-11-03,3314.56005859375
FB,2021-11-03,327.7799987792969
OGN,2021-11-03,36.81999969482422
ADSK,2021-11-03,304.3699951171875
RL,2021-11-03,122.97000122070312
LRCX,2021-11-03,572.7899780273438
BBY,2021-11-03,125.13999938964844
WFC,2021-11-03,52.189998626708984
SWKS,2021-11-03,171.5050048828125
PKG,2021-11-03,134.3300018310547
AMAT,2021-11-03,140.67999267578125
EFX,2021-11-03,272.1099853515625
NSC,2021-11-03,284.3299865722656
T,2021-11-03,25.264999389648438
CF,2021-11-03,58.09000015258789
XYL,2021-11-03,125.22000122070312
PSA,2021-11-03,331.864990234375
BIIB,2021-11-03,276.3699951171875
APD,2021-11-03,299.9599914550781
HPQ,2021-11-03,31.090599060058594
QRVO,2021-11-03,173.02000427246094
LYB,2021-11-03,94.27999877929688
RHI,2021-11-03,114.48999786376953
CARR,2021-11-03,51.60499954223633
JCI,2021-11-03,72.54499816894531
SNPS,2021-11-03,330.3599853515625
NFLX,2021-11-03,682.0499877929688
DLTR,2021-11-03,113.8499984741211
IVZ,2021-11-03,26.427600860595703
DHI,2021-11-03,90.08999633789062
TYL,2021-11-03,538.6668701171875
HCA,2021-11-03,248.0
NCLH,2021-11-03,26.520000457763672
SNA,2021-11-03,208.10000610351562
HSIC,2021-11-03,78.52999877929688
STT,2021-11-03,99.75499725341797
NDAQ,2021-11-03,209.27000427246094
MOS,2021-11-03,38.77000045776367
STX,2021-11-03,94.6500015258789
AMP,2021-11-03,309.2799987792969
APTV,2021-11-03,175.8300018310547
TRMB,2021-11-03,87.83999633789062
HUM,2021-11-03,455.2799987792969
NVR,2021-11-03,5019.9892578125
CTVA,2021-11-03,44.029998779296875
CCL,2021-11-03,23.079999923706055
MU,2021-11-03,70.80000305175781
CTLT,2021-11-03,135.22999572753906
HPE,2021-11-03,15.440299987792969
EXPD,2021-11-03,125.06999969482422
FRC,2021-11-03,220.39999389648438
WAB,2021-11-03,92.04000091552734
NWS,2021-11-03,22.975000381469727
FTNT,2021-11-03,325.70001220703125
MRO,2021-11-03,17.030000686645508
FMC,2021-11-03,103.32499694824219
GWW,2021-11-03,472.7900085449219
TSCO,2021-11-03,216.3699951171875
BK,2021-11-03,60.0099983215332
HWM,2021-11-03,30.5
DOV,2021-11-03,169.3289031982422
VTRS,2021-11-03,13.90999984741211
SPGI,2021-11-03,456.260009765625
BLK,2021-11-03,946.4199829101562
LUV,2021-11-03,49.36000061035156
TT,2021-11-03,177.94500732421875
DVN,2021-11-03,43.51919937133789
UHS,2021-11-03,121.75
SPG,2021-11-03,162.02999877929688
CBRE,2021-11-03,103.9800033569336
SLB,2021-11-03,33.29999923706055
HAS,2021-11-03,94.44999694824219
IT,2021-11-03,328.8900146484375
LNC,2021-11-03,76.30500030517578
QCOM,2021-11-03,135.5449981689453
IR,2021-11-03,55.505001068115234
INFO,2021-11-03,125.55000305175781
WY,2021-11-03,36.380001068115234
PH,2021-11-03,299.0199890136719
BAC,2021-11-03,48.212398529052734
XRAY,2021-11-03,58.95000076293945
DGX,2021-11-03,144.08999633789062
NVDA,2021-11-03,262.989990234375
ITW,2021-11-03,226.83999633789062
NUE,2021-11-03,108.8499984741211
DLR,2021-11-03,157.91000366210938
MCD,2021-11-03,249.40499877929688
SEE,2021-11-03,61.26499938964844
PVH,2021-11-03,118.05000305175781
